"","year","spouses","gender","a_p","a_h","production","yield","p"
"72",2008,612,"male",60.46,50.999,2051.088,40.2182,"6.4800000000000004"
"73",2009,436,"female",63.617,56.036,2511.896,44.8265,"6.7800000000000002"
"74",2009,619,"male",63.617,56.036,2511.896,44.8265,"6.7800000000000002"
"75",2010,660,"male",59.017,49.841,2208.918,44.3193,"4.8700000000000001"
"76",2010,488,"female",59.017,49.841,2208.918,44.3193,"4.8700000000000001"
"77",2011,613,"male",52.62,46.883,2163.023,46.1366,"5.7000000000000002"
"78",2011,460,"female",52.62,46.883,2163.023,46.1366,"5.7000000000000002"
"79",2012,456,"female",54.277,45.687,1993.111,43.6253,"7.2400000000000002"
"80",2012,660,"male",54.277,45.687,1993.111,43.6253,"7.2400000000000002"
"81",2013,483,"female",55.294,48.758,2252.307,46.1936,"7.7699999999999996"
"82",2013,589,"male",55.294,48.758,2252.307,46.1936,"7.7699999999999996"
"83",2014,450,"female",56.236,45.332,2134.979,47.0965,"6.8700000000000001"
"84",2014,623,"male",56.236,45.332,2134.979,47.0965,"6.8700000000000001"
